[4811.997, 'N', 300.9381, 'W', 131237.0]
[4811.9975, 'N', 300.9387, 'W', 131238.0]
[4811.998, 'N', 300.9394, 'W', 131239.0]
[4811.9984, 'N', 300.94, 'W', 131240.0]
[4811.9989, 'N', 300.9407, 'W', 131241.0]
[4811.9994, 'N', 300.9413, 'W', 131242.0]
[4811.9999, 'N', 300.9419, 'W', 131243.0]
[4812.0003, 'N', 300.9425, 'W', 131244.0]
[4812.0008, 'N', 300.9433, 'W', 131245.0]
[4812.0013, 'N', 300.944, 'W', 131246.0]
[4812.0017, 'N', 300.9446, 'W', 131247.0]
[4812.0022, 'N', 300.9453, 'W', 131248.0]
[4812.0027, 'N', 300.946, 'W', 131249.0]
[4812.0032, 'N', 300.9466, 'W', 131250.0]
[4812.0036, 'N', 300.9473, 'W', 131251.0]
[4812.0041, 'N', 300.948, 'W', 131252.0]
[4812.0046, 'N', 300.9486, 'W', 131253.0]
[4812.005, 'N', 300.9493, 'W', 131254.0]
[4812.0055, 'N', 300.9499, 'W', 131255.0]
[4812.0059, 'N', 300.9506, 'W', 131256.0]
[4812.0064, 'N', 300.9513, 'W', 131257.0]
[4812.0068, 'N', 300.952, 'W', 131258.0]
[4812.0073, 'N', 300.9527, 'W', 131259.0]
[4812.0077, 'N', 300.9535, 'W', 131300.0]
[4812.0081, 'N', 300.9541, 'W', 131301.0]
[4812.0085, 'N', 300.9548, 'W', 131302.0]
[4812.009, 'N', 300.9555, 'W', 131303.0]
[4812.0094, 'N', 300.9561, 'W', 131304.0]
[4812.0099, 'N', 300.9568, 'W', 131305.0]
[4812.0103, 'N', 300.9575, 'W', 131306.0]
[4812.0107, 'N', 300.9583, 'W', 131307.0]
[4812.0112, 'N', 300.959, 'W', 131308.0]
[4812.0116, 'N', 300.9597, 'W', 131309.0]
[4812.0121, 'N', 300.9604, 'W', 131310.0]
[4812.0126, 'N', 300.9611, 'W', 131311.0]
[4812.0131, 'N', 300.9617, 'W', 131312.0]
[4812.0136, 'N', 300.9624, 'W', 131313.0]
[4812.0141, 'N', 300.963, 'W', 131314.0]
[4812.0145, 'N', 300.9637, 'W', 131315.0]
[4812.015, 'N', 300.9644, 'W', 131316.0]
[4812.0155, 'N', 300.9651, 'W', 131317.0]
[4812.0159, 'N', 300.9658, 'W', 131318.0]
[4812.0164, 'N', 300.9665, 'W', 131319.0]
[4812.0169, 'N', 300.9671, 'W', 131320.0]
[4812.0165, 'N', 300.969, 'W', 131400.0]
[4812.0164, 'N', 300.969, 'W', 131401.0]
[4812.0163, 'N', 300.969, 'W', 131402.0]
[4812.0157, 'N', 300.9685, 'W', 131403.0]
[4812.015, 'N', 300.9677, 'W', 131404.0]
[4812.0143, 'N', 300.9667, 'W', 131405.0]
[4812.0136, 'N', 300.9657, 'W', 131406.0]
[4812.013, 'N', 300.9648, 'W', 131407.0]
[4812.0123, 'N', 300.9638, 'W', 131408.0]
[4812.0117, 'N', 300.9628, 'W', 131409.0]
[4812.011, 'N', 300.9619, 'W', 131410.0]
[4812.0104, 'N', 300.9609, 'W', 131411.0]
[4812.0098, 'N', 300.9599, 'W', 131412.0]
[4812.0092, 'N', 300.9588, 'W', 131413.0]
[4812.0085, 'N', 300.9578, 'W', 131414.0]
[4812.0079, 'N', 300.9568, 'W', 131415.0]
[4812.0071, 'N', 300.9559, 'W', 131416.0]
[4812.0065, 'N', 300.955, 'W', 131417.0]
[4812.0058, 'N', 300.9541, 'W', 131418.0]
[4812.0051, 'N', 300.9533, 'W', 131419.0]
[4812.0045, 'N', 300.9525, 'W', 131420.0]
[4812.0038, 'N', 300.9516, 'W', 131421.0]
[4812.0031, 'N', 300.9507, 'W', 131422.0]
[4812.0024, 'N', 300.9498, 'W', 131423.0]
[4812.0017, 'N', 300.9489, 'W', 131424.0]
[4812.001, 'N', 300.9481, 'W', 131425.0]
[4812.0002, 'N', 300.9472, 'W', 131426.0]
[4811.9995, 'N', 300.9464, 'W', 131427.0]
[4811.9987, 'N', 300.9456, 'W', 131428.0]
[4811.998, 'N', 300.9448, 'W', 131429.0]
[4811.9973, 'N', 300.9439, 'W', 131430.0]
[4811.9965, 'N', 300.9431, 'W', 131431.0]
[4811.9957, 'N', 300.9423, 'W', 131432.0]
[4811.995, 'N', 300.9415, 'W', 131433.0]
[4811.9942, 'N', 300.9406, 'W', 131434.0]
[4811.9935, 'N', 300.9398, 'W', 131435.0]
[4811.9928, 'N', 300.9389, 'W', 131436.0]
[4811.992, 'N', 300.9381, 'W', 131437.0]
[4811.9913, 'N', 300.9372, 'W', 131438.0]
[4811.9906, 'N', 300.9363, 'W', 131439.0]
[4811.9899, 'N', 300.9354, 'W', 131440.0]
[4811.9892, 'N', 300.9344, 'W', 131441.0]
[4811.9885, 'N', 300.9334, 'W', 131442.0]
[4811.9878, 'N', 300.9324, 'W', 131443.0]
[4811.9871, 'N', 300.9315, 'W', 131444.0]
[4811.9865, 'N', 300.9306, 'W', 131445.0]
[4811.9857, 'N', 300.9297, 'W', 131446.0]
[4811.985, 'N', 300.9288, 'W', 131447.0]
[4811.9843, 'N', 300.9279, 'W', 131448.0]
[4811.9837, 'N', 300.927, 'W', 131449.0]
[4811.9832, 'N', 300.9261, 'W', 131450.0]
[4811.9827, 'N', 300.9254, 'W', 131451.0]
[4811.9823, 'N', 300.9247, 'W', 131452.0]
[4811.9819, 'N', 300.9241, 'W', 131453.0]
[4811.9816, 'N', 300.9236, 'W', 131454.0]
[4811.9813, 'N', 300.9232, 'W', 131455.0]
[4811.9812, 'N', 300.923, 'W', 131456.0]
[4811.9808, 'N', 300.9225, 'W', 131457.0]
[4811.9802, 'N', 300.9217, 'W', 131458.0]
[4811.9795, 'N', 300.9209, 'W', 131459.0]
[4811.9789, 'N', 300.9201, 'W', 131500.0]
[4811.9782, 'N', 300.9192, 'W', 131501.0]
[4811.9776, 'N', 300.9183, 'W', 131502.0]
[4811.977, 'N', 300.9174, 'W', 131503.0]
[4811.9764, 'N', 300.9165, 'W', 131504.0]
[4811.9758, 'N', 300.9156, 'W', 131505.0]
[4811.9753, 'N', 300.9147, 'W', 131506.0]
[4811.9746, 'N', 300.9139, 'W', 131507.0]
[4811.9739, 'N', 300.9131, 'W', 131508.0]
[4811.9732, 'N', 300.9123, 'W', 131509.0]
[4811.9725, 'N', 300.9115, 'W', 131510.0]
[4811.9718, 'N', 300.9107, 'W', 131511.0]
[4811.9711, 'N', 300.9099, 'W', 131512.0]
[4811.9704, 'N', 300.9092, 'W', 131513.0]
[4811.9696, 'N', 300.9083, 'W', 131514.0]
[4811.9689, 'N', 300.9076, 'W', 131515.0]
[4811.9682, 'N', 300.9068, 'W', 131516.0]
[4811.9675, 'N', 300.906, 'W', 131517.0]
[4811.9668, 'N', 300.9052, 'W', 131518.0]
[4811.9661, 'N', 300.9044, 'W', 131519.0]
[4811.9654, 'N', 300.9035, 'W', 131520.0]
[4811.9647, 'N', 300.9027, 'W', 131521.0]
[4811.964, 'N', 300.9019, 'W', 131522.0]
[4811.9633, 'N', 300.901, 'W', 131523.0]
[4811.9626, 'N', 300.9001, 'W', 131524.0]
[4811.9619, 'N', 300.8993, 'W', 131525.0]
[4811.9612, 'N', 300.8985, 'W', 131526.0]
[4811.9605, 'N', 300.8976, 'W', 131527.0]
[4811.9598, 'N', 300.8968, 'W', 131528.0]
[4811.9591, 'N', 300.8959, 'W', 131529.0]
[4811.9584, 'N', 300.8951, 'W', 131530.0]
[4811.9577, 'N', 300.8943, 'W', 131531.0]
[4811.957, 'N', 300.8935, 'W', 131532.0]
[4811.9563, 'N', 300.8926, 'W', 131533.0]
[4811.9556, 'N', 300.8918, 'W', 131534.0]
[4811.9549, 'N', 300.891, 'W', 131535.0]
[4811.9542, 'N', 300.8901, 'W', 131536.0]
[4811.9536, 'N', 300.8893, 'W', 131537.0]
[4811.953, 'N', 300.8884, 'W', 131538.0]
[4811.9523, 'N', 300.8875, 'W', 131539.0]
[4811.9517, 'N', 300.8866, 'W', 131540.0]
[4811.9512, 'N', 300.8858, 'W', 131541.0]
[4811.9507, 'N', 300.8851, 'W', 131542.0]
[4811.9505, 'N', 300.8846, 'W', 131543.0]
[4811.9504, 'N', 300.8845, 'W', 131544.0]
[4811.9504, 'N', 300.8846, 'W', 131545.0]
[4811.9503, 'N', 300.8846, 'W', 131546.0]
[4811.9503, 'N', 300.8846, 'W', 131547.0]
[4811.9502, 'N', 300.8844, 'W', 131548.0]
[4811.9502, 'N', 300.8842, 'W', 131549.0]
[4811.9502, 'N', 300.8837, 'W', 131550.0]
[4811.9504, 'N', 300.8833, 'W', 131551.0]
[4811.9504, 'N', 300.8834, 'W', 131552.0]
[4811.9505, 'N', 300.8834, 'W', 131553.0]
[4811.9505, 'N', 300.8835, 'W', 131554.0]
[4811.9505, 'N', 300.8835, 'W', 131555.0]
[4811.9505, 'N', 300.8835, 'W', 131556.0]
[4811.9505, 'N', 300.8834, 'W', 131557.0]
[4811.9505, 'N', 300.8834, 'W', 131558.0]
[4811.9505, 'N', 300.8833, 'W', 131559.0]
[4811.9503, 'N', 300.8834, 'W', 131905.0]
[4811.9503, 'N', 300.8834, 'W', 131906.0]
[4811.9503, 'N', 300.8834, 'W', 131907.0]
[4811.9503, 'N', 300.8834, 'W', 131908.0]
[4811.9503, 'N', 300.8834, 'W', 131909.0]
[4811.9503, 'N', 300.8834, 'W', 131910.0]
[4811.9503, 'N', 300.8834, 'W', 131911.0]
[4811.9503, 'N', 300.8834, 'W', 131912.0]
[4811.9503, 'N', 300.8834, 'W', 131913.0]
[4811.9503, 'N', 300.8834, 'W', 131914.0]
[4811.9503, 'N', 300.8834, 'W', 131915.0]
[4811.9503, 'N', 300.8834, 'W', 131916.0]
[4811.9503, 'N', 300.8834, 'W', 131917.0]
[4811.9507, 'N', 300.8837, 'W', 131918.0]
[4811.951, 'N', 300.8842, 'W', 131919.0]
[4811.9513, 'N', 300.8845, 'W', 131920.0]
[4811.9518, 'N', 300.8845, 'W', 131921.0]
[4811.9523, 'N', 300.884, 'W', 131922.0]
[4811.9524, 'N', 300.8835, 'W', 131923.0]
[4811.9528, 'N', 300.8834, 'W', 131924.0]
[4811.9534, 'N', 300.8839, 'W', 131925.0]
[4811.954, 'N', 300.8843, 'W', 131926.0]
[4811.9546, 'N', 300.885, 'W', 131927.0]
[4811.9553, 'N', 300.8854, 'W', 131928.0]
[4811.9559, 'N', 300.8859, 'W', 131929.0]
[4811.9565, 'N', 300.8863, 'W', 131930.0]
[4811.957, 'N', 300.8869, 'W', 131931.0]
[4811.9575, 'N', 300.8876, 'W', 131932.0]
[4811.9581, 'N', 300.8883, 'W', 131933.0]
[4811.9586, 'N', 300.889, 'W', 131934.0]
[4811.9591, 'N', 300.8896, 'W', 131935.0]
[4811.9596, 'N', 300.8903, 'W', 131936.0]
[4811.9602, 'N', 300.8909, 'W', 131937.0]
[4811.9608, 'N', 300.8916, 'W', 131938.0]
[4811.9612, 'N', 300.8924, 'W', 131939.0]
[4811.9617, 'N', 300.8928, 'W', 131940.0]
[4811.9622, 'N', 300.8934, 'W', 131941.0]
[4811.9628, 'N', 300.8939, 'W', 131942.0]
[4811.9632, 'N', 300.8944, 'W', 131943.0]
[4811.9638, 'N', 300.8948, 'W', 131944.0]
[4811.9643, 'N', 300.8954, 'W', 131945.0]
[4811.9648, 'N', 300.8959, 'W', 131946.0]
[4811.9653, 'N', 300.8965, 'W', 131947.0]
[4811.9658, 'N', 300.8969, 'W', 131948.0]
[4811.9663, 'N', 300.8974, 'W', 131949.0]
[4811.9668, 'N', 300.8977, 'W', 131950.0]
[4811.9673, 'N', 300.8982, 'W', 131951.0]
[4811.9677, 'N', 300.8986, 'W', 131952.0]
[4811.9682, 'N', 300.899, 'W', 131953.0]
[4811.9686, 'N', 300.8994, 'W', 131954.0]
[4811.969, 'N', 300.8999, 'W', 131955.0]
[4811.9694, 'N', 300.9004, 'W', 131956.0]
[4811.9698, 'N', 300.9011, 'W', 131957.0]
[4811.9702, 'N', 300.9016, 'W', 131958.0]
[4811.9706, 'N', 300.9022, 'W', 131959.0]
[4811.971, 'N', 300.9028, 'W', 132000.0]
[4811.9714, 'N', 300.9034, 'W', 132001.0]
[4811.9719, 'N', 300.9039, 'W', 132002.0]
[4811.9724, 'N', 300.9045, 'W', 132003.0]
[4811.9728, 'N', 300.905, 'W', 132004.0]
[4811.9732, 'N', 300.9056, 'W', 132005.0]
[4811.9737, 'N', 300.9061, 'W', 132006.0]
[4811.9741, 'N', 300.9067, 'W', 132007.0]
[4811.9745, 'N', 300.9073, 'W', 132008.0]
[4811.9749, 'N', 300.908, 'W', 132009.0]
[4811.9752, 'N', 300.9085, 'W', 132010.0]
[4811.9756, 'N', 300.909, 'W', 132011.0]
[4811.9759, 'N', 300.9097, 'W', 132012.0]
[4811.9762, 'N', 300.9103, 'W', 132013.0]
[4811.9766, 'N', 300.911, 'W', 132014.0]
[4811.977, 'N', 300.9116, 'W', 132015.0]
[4811.9774, 'N', 300.9122, 'W', 132016.0]
[4811.9778, 'N', 300.9129, 'W', 132017.0]
[4811.9782, 'N', 300.9135, 'W', 132018.0]
[4811.9786, 'N', 300.9142, 'W', 132019.0]
[4811.9791, 'N', 300.9148, 'W', 132020.0]
[4811.9795, 'N', 300.9154, 'W', 132021.0]
[4811.9798, 'N', 300.916, 'W', 132022.0]
[4811.9803, 'N', 300.9166, 'W', 132023.0]
[4811.9807, 'N', 300.9173, 'W', 132024.0]
[4811.9812, 'N', 300.9178, 'W', 132025.0]
[4811.9817, 'N', 300.9183, 'W', 132026.0]
[4811.9822, 'N', 300.9188, 'W', 132027.0]
[4811.9827, 'N', 300.9195, 'W', 132028.0]
[4811.9832, 'N', 300.9201, 'W', 132029.0]
[4811.9837, 'N', 300.9206, 'W', 132030.0]
[4811.9842, 'N', 300.9212, 'W', 132031.0]
[4811.9844, 'N', 300.9216, 'W', 132032.0]
[4811.9846, 'N', 300.922, 'W', 132033.0]
[4811.9849, 'N', 300.9226, 'W', 132034.0]
[4811.9855, 'N', 300.9232, 'W', 132035.0]
[4811.986, 'N', 300.9238, 'W', 132036.0]
[4811.9865, 'N', 300.9243, 'W', 132037.0]
[4811.987, 'N', 300.925, 'W', 132038.0]
[4811.9874, 'N', 300.9256, 'W', 132039.0]
[4811.9879, 'N', 300.9262, 'W', 132040.0]
[4811.9884, 'N', 300.9268, 'W', 132041.0]
[4811.9889, 'N', 300.9273, 'W', 132042.0]
[4811.9894, 'N', 300.928, 'W', 132043.0]
[4811.9898, 'N', 300.9286, 'W', 132044.0]
[4811.9902, 'N', 300.9293, 'W', 132045.0]
[4811.9906, 'N', 300.93, 'W', 132046.0]
[4811.9867, 'N', 300.9306, 'W', 132139.0]
[4811.9866, 'N', 300.9306, 'W', 132140.0]
[4811.9865, 'N', 300.9305, 'W', 132141.0]
[4811.9859, 'N', 300.9299, 'W', 132142.0]
[4811.9852, 'N', 300.9288, 'W', 132143.0]
[4811.9845, 'N', 300.9277, 'W', 132144.0]
[4811.9839, 'N', 300.9266, 'W', 132145.0]
[4811.9834, 'N', 300.9258, 'W', 132146.0]
[4811.9829, 'N', 300.9251, 'W', 132147.0]
[4811.9824, 'N', 300.9244, 'W', 132148.0]
[4811.982, 'N', 300.9239, 'W', 132149.0]
[4811.9816, 'N', 300.9234, 'W', 132150.0]
[4811.9813, 'N', 300.9231, 'W', 132151.0]
[4811.981, 'N', 300.9227, 'W', 132152.0]
[4811.9803, 'N', 300.922, 'W', 132153.0]
[4811.9796, 'N', 300.9213, 'W', 132154.0]
[4811.9788, 'N', 300.9206, 'W', 132155.0]
[4811.978, 'N', 300.9198, 'W', 132156.0]
[4811.9773, 'N', 300.919, 'W', 132157.0]
[4811.9754, 'N', 300.9172, 'W', 132203.0]
[4811.9753, 'N', 300.9171, 'W', 132204.0]
[4811.9751, 'N', 300.9168, 'W', 132205.0]
[4811.9749, 'N', 300.9161, 'W', 132206.0]
[4811.9748, 'N', 300.9151, 'W', 132207.0]
[4811.9748, 'N', 300.914, 'W', 132208.0]
[4811.9748, 'N', 300.9129, 'W', 132209.0]
[4811.9751, 'N', 300.912, 'W', 132210.0]
[4811.9756, 'N', 300.9115, 'W', 132211.0]
[4811.9762, 'N', 300.9114, 'W', 132212.0]
[4811.9767, 'N', 300.9117, 'W', 132213.0]
[4811.9772, 'N', 300.9122, 'W', 132214.0]
[4811.9777, 'N', 300.9128, 'W', 132215.0]
[4811.9781, 'N', 300.9135, 'W', 132216.0]
[4811.9785, 'N', 300.9142, 'W', 132217.0]
[4811.9789, 'N', 300.915, 'W', 132218.0]
[4811.9794, 'N', 300.9157, 'W', 132219.0]
[4811.9798, 'N', 300.9164, 'W', 132220.0]
[4811.9803, 'N', 300.917, 'W', 132221.0]
[4811.9807, 'N', 300.9176, 'W', 132222.0]
[4811.9812, 'N', 300.9182, 'W', 132223.0]
[4811.9816, 'N', 300.9188, 'W', 132224.0]
[4811.9821, 'N', 300.9193, 'W', 132225.0]
[4811.9826, 'N', 300.9199, 'W', 132226.0]
[4811.9831, 'N', 300.9205, 'W', 132227.0]
[4811.9835, 'N', 300.9211, 'W', 132228.0]
[4811.984, 'N', 300.9217, 'W', 132229.0]
[4811.9843, 'N', 300.9221, 'W', 132230.0]
[4811.9846, 'N', 300.9225, 'W', 132231.0]
[4811.985, 'N', 300.923, 'W', 132232.0]
[4811.9855, 'N', 300.9236, 'W', 132233.0]
[4811.986, 'N', 300.9242, 'W', 132234.0]
[4811.9865, 'N', 300.9248, 'W', 132235.0]
[4811.987, 'N', 300.9255, 'W', 132236.0]
[4811.9874, 'N', 300.9261, 'W', 132237.0]
[4811.9879, 'N', 300.9267, 'W', 132238.0]
[4811.9884, 'N', 300.9273, 'W', 132239.0]
[4811.9888, 'N', 300.9279, 'W', 132240.0]
[4811.9893, 'N', 300.9286, 'W', 132241.0]
[4811.9898, 'N', 300.9292, 'W', 132242.0]
[4811.9902, 'N', 300.9299, 'W', 132243.0]
[4811.9907, 'N', 300.9305, 'W', 132244.0]
[4811.9911, 'N', 300.9311, 'W', 132245.0]
[4811.9916, 'N', 300.9316, 'W', 132246.0]
[4811.9921, 'N', 300.9321, 'W', 132247.0]
[4811.9926, 'N', 300.9326, 'W', 132248.0]
[4811.9931, 'N', 300.9332, 'W', 132249.0]
[4811.9935, 'N', 300.9339, 'W', 132250.0]
[4811.9938, 'N', 300.9346, 'W', 132251.0]
[4811.9942, 'N', 300.9353, 'W', 132252.0]
[4811.9946, 'N', 300.9359, 'W', 132253.0]
[4811.995, 'N', 300.9364, 'W', 132254.0]
[4811.9955, 'N', 300.937, 'W', 132255.0]
[4811.9959, 'N', 300.9377, 'W', 132256.0]
[4811.9963, 'N', 300.9384, 'W', 132257.0]
[4811.9967, 'N', 300.939, 'W', 132258.0]
[4811.9971, 'N', 300.9396, 'W', 132259.0]
[4811.9974, 'N', 300.9403, 'W', 132300.0]
[4811.9977, 'N', 300.9411, 'W', 132301.0]
[4811.9981, 'N', 300.9419, 'W', 132302.0]
[4811.9985, 'N', 300.9425, 'W', 132303.0]
[4811.999, 'N', 300.943, 'W', 132304.0]
[4811.9995, 'N', 300.9435, 'W', 132305.0]
[4811.9999, 'N', 300.9441, 'W', 132306.0]
[4812.0003, 'N', 300.9448, 'W', 132307.0]
[4812.0007, 'N', 300.9455, 'W', 132308.0]
[4812.0011, 'N', 300.9462, 'W', 132309.0]
[4812.0016, 'N', 300.9468, 'W', 132310.0]
[4812.0021, 'N', 300.9473, 'W', 132311.0]
[4812.0025, 'N', 300.9479, 'W', 132312.0]
[4812.003, 'N', 300.9485, 'W', 132313.0]
[4812.0035, 'N', 300.949, 'W', 132314.0]
[4812.0041, 'N', 300.9494, 'W', 132315.0]
[4812.0046, 'N', 300.9498, 'W', 132316.0]
[4812.0051, 'N', 300.9503, 'W', 132317.0]
[4812.0056, 'N', 300.9509, 'W', 132318.0]
[4812.006, 'N', 300.9516, 'W', 132319.0]
[4812.0064, 'N', 300.9522, 'W', 132320.0]
[4812.0069, 'N', 300.9528, 'W', 132321.0]
[4812.0074, 'N', 300.9534, 'W', 132322.0]
[4812.0078, 'N', 300.954, 'W', 132323.0]
[4812.0083, 'N', 300.9547, 'W', 132324.0]
[4812.0087, 'N', 300.9554, 'W', 132325.0]
[4812.0091, 'N', 300.9561, 'W', 132326.0]
[4812.0096, 'N', 300.9567, 'W', 132327.0]
[4812.0101, 'N', 300.9573, 'W', 132328.0]
[4812.0106, 'N', 300.9579, 'W', 132329.0]
[4812.011, 'N', 300.9585, 'W', 132330.0]
[4812.0114, 'N', 300.9592, 'W', 132331.0]
[4812.0118, 'N', 300.9599, 'W', 132332.0]
[4812.0122, 'N', 300.9606, 'W', 132333.0]
[4812.0126, 'N', 300.9612, 'W', 132334.0]
[4812.0131, 'N', 300.9618, 'W', 132335.0]
[4812.0136, 'N', 300.9624, 'W', 132336.0]
[4812.014, 'N', 300.963, 'W', 132337.0]
[4812.0143, 'N', 300.9637, 'W', 132338.0]
[4812.0146, 'N', 300.9645, 'W', 132339.0]
[4812.015, 'N', 300.9652, 'W', 132340.0]
[4812.0154, 'N', 300.966, 'W', 132341.0]
[4812.0158, 'N', 300.9667, 'W', 132342.0]
[4812.0163, 'N', 300.9673, 'W', 132343.0]
[4812.0167, 'N', 300.9678, 'W', 132344.0]
[4812.0172, 'N', 300.9683, 'W', 132345.0]
